Uncertainty           , Type  ,ttH_hbb, ttH_hcc , ttH_hww , ttH_hzz , ttH_htt , ttH_hgg , ttH_hgluglu , ttH_hzg , ttbarOther , ttbarPlusB , ttbarPlus2B , ttbarPlusBBbar , ttbarPlusCCbar , singlet , wjets , zjets , ttbarW , ttbarZ, diboson,QCD
lumi                  , lnN   , x     , x     , x     , x     , x     , x     , x     , x     , x     , x          , x              , x              , x              , x       , x     , x     , x      , x      ,x,x
QCDscale_ttH          , lnN   ,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058,0.908/1.058, -     , -          , -              , -              , -              , -       , -     , -     , -      , -      ,-,-
CMS_scalePileUpPtRef_j       , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-
CMS_scalePileUpPtBB_j       , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-
CMS_scalePileUpPtEC1_j       , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-
CMS_scalePileUpPtEC2_j       , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-
CMS_scalePileUpPtHF_j       , shape ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-
CMS_ttHbb_ttbar_FSR           , shape ,-,-,-,-,-,-,-,-,1,1,1,1,1,-,-,-,-,-,-,-
CMS_ttHbb_ttbar_ISR           , shape ,-,-,-,-,-,-,-,-,1,1,1,1,1,-,-,-,-,-,-,-
#CMS_ttHbb_HDAMP           , shape ,-,-,-,-,-,-,-,-,1,1,1,1,1,-,-,-,-,-,-,-
#CMS_ttHbb_UE           , shape ,-,-,-,-,-,-,-,-,1,1,1,1,1,-,-,-,-,-,-,-
#CMS_ttHbb_QCDScaleFactor,shape,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
CMS_ttHbb_ttbar_NNPDF,shape,-,-,-,-,-,-,-,-,1,1,1,1,1,-,-,-,-,-,-,-
#CMS_ttHbb_scaleME,shape,-,-,-,-,-,-,-,-,1,1,1,1,1,-,-,-,-,-,-,-
CMS_ttHbb_scaleMuF,shape,-,-,-,-,-,-,-,-,1,1,1,1,1,-,-,-,-,-,-,-
CMS_ttHbb_scaleMuR,shape,-,-,-,-,-,-,-,-,1,1,1,1,1,-,-,-,-,-,-,-
CMS_ttHbb_ttbarOther_FSR, shape   , -     , -     , -     , -     , -     , -     , -     , -     ,1, -          , -              , -              , -              , -       , -     , -     , -      , -      ,-,-
CMS_ttHbb_ttbarPlusB_FSR  , shape   , -     , -     , -     , -     , -     , -     , -     , -     , -     ,1, -              , -              , -              , -       , -     , -     , -      , -      ,-,-
CMS_ttHbb_ttbarPlus2B_FSR , shape   , -     , -     , -     , -     , -     , -     , -     , -     , -     , -          ,1, -              , -              , -       , -     , -     , -      , -      ,-,-
CMS_ttHbb_ttbarPlusBBbar_FSR , shape   , -     , -     , -     , -     , -     , -     , -     , -     , -     , -          , -              ,1, -              , -       , -     , -     , -      , -      ,-,-
CMS_ttHbb_ttbarPlusCCbar_FSR , shape   , -     , -     , -     , -     , -     , -     , -     , -     , -     , -          , -              , -              ,1, -       , -     , -     , -      , -      ,-,-
CMS_ttHbb_ttbarOther_ISR, shape   , -     , -     , -     , -     , -     , -     , -     , -     ,1, -          , -              , -              , -              , -       , -     , -     , -      , -      ,-,-
CMS_ttHbb_ttbarPlusB_ISR  , shape   , -     , -     , -     , -     , -     , -     , -     , -     , -     ,1, -              , -              , -              , -       , -     , -     , -      , -      ,-,-
CMS_ttHbb_ttbarPlus2B_ISR , shape   , -     , -     , -     , -     , -     , -     , -     , -     , -     , -          ,1, -              , -              , -       , -     , -     , -      , -      ,-,-
CMS_ttHbb_ttbarPlusBBbar_ISR , shape   , -     , -     , -     , -     , -     , -     , -     , -     , -     , -          , -              ,1, -              , -       , -     , -     , -      , -      ,-,-
CMS_ttHbb_ttbarPlusCCbar_ISR , shape   , -     , -     , -     , -     , -     , -     , -     , -     , -     , -          , -              , -              ,1, -       , -     , -     , -      , -      ,-,-
CMS_ttHbb_ttbarOther_NNPDF, shape   , -     , -     , -     , -     , -     , -     , -     , -     ,1, -          , -              , -              , -              , -       , -     , -     , -      , -      ,-,-
CMS_ttHbb_ttbarPlusB_NNPDF  , shape   , -     , -     , -     , -     , -     , -     , -     , -     , -     ,1, -              , -              , -              , -       , -     , -     , -      , -      ,-,-
CMS_ttHbb_ttbarPlus2B_NNPDF , shape   , -     , -     , -     , -     , -     , -     , -     , -     , -     , -          ,1, -              , -              , -       , -     , -     , -      , -      ,-,-
CMS_ttHbb_ttbarPlusBBbar_NNPDF , shape   , -     , -     , -     , -     , -     , -     , -     , -     , -     , -          , -              ,1, -              , -       , -     , -     , -      , -      ,-,-
CMS_ttHbb_ttbarPlusCCbar_NNPDF , shape   , -     , -     , -     , -     , -     , -     , -     , -     , -     , -          , -              , -              ,1, -       , -     , -     , -      , -      ,-,-
CMS_ttHbb_ttbarOther_scaleMuF, shape   , -     , -     , -     , -     , -     , -     , -     , -     ,1, -          , -              , -              , -              , -       , -     , -     , -      , -      ,-,-
CMS_ttHbb_ttbarPlusB_scaleMuF  , shape   , -     , -     , -     , -     , -     , -     , -     , -     , -     ,1, -              , -              , -              , -       , -     , -     , -      , -      ,-,-
CMS_ttHbb_ttbarPlus2B_scaleMuF , shape   , -     , -     , -     , -     , -     , -     , -     , -     , -     , -          ,1, -              , -              , -       , -     , -     , -      , -      ,-,-
CMS_ttHbb_ttbarPlusBBbar_scaleMuF , shape   , -     , -     , -     , -     , -     , -     , -     , -     , -     , -          , -              ,1, -              , -       , -     , -     , -      , -      ,-,-
CMS_ttHbb_ttbarPlusCCbar_scaleMuF , shape   , -     , -     , -     , -     , -     , -     , -     , -     , -     , -          , -              , -              ,1, -       , -     , -     , -      , -      ,-,-
